Sentença;Pena_base(dias);Pena_base(meses);Pena_base(anos);Pena_definitiva(dias);Pena_definitiva(meses);Pena_definitiva(anos)
1501994-93.2020.8.26.0161;485;16.17;1.33;375;12.5;1.03
1502162-40.2020.8.26.0050;425;14.17;1.16;425;14.17;1.16
1502227-70.2022.8.26.0048;365;12.17;1.0;365;12.17;1.0
1502244-18.2022.8.26.0530;730;24.33;2.0;485;16.17;1.33
1502281-45.2021.8.26.0024;850;28.33;2.33;495;16.5;1.36
1502281-45.2021.8.26.0024;850;28.33;2.33;495;16.5;1.36
1502357-49.2021.8.26.0548;425;14.17;1.16;565;18.83;1.55
1502446-50.2022.8.26.0544;730;24.33;2.0;240;8.0;0.66
1502512-77.2019.8.26.0045;730;24.33;2.0;730;24.33;2.0
1502687-85.2021.8.26.0535;730;24.33;2.0;730;24.33;2.0
1502797-47.2022.8.26.0536;425;14.17;1.16;549;18.3;1.5
1502825-67.2021.8.26.0530;425;14.17;1.16;140;4.67;0.38
1502986-75.2022.8.26.0196;425;14.17;1.16;495;16.5;1.36
1502994-97.2021.8.26.0548;730;24.33;2.0;280;9.33;0.77
1503157-48.2022.8.26.0320;850;28.33;2.33;850;28.33;2.33
1503253-98.2022.8.26.0664;425;14.17;1.16;425;14.17;1.16
1503263-41.2022.8.26.0536;425;14.17;1.16;565;18.83;1.55
1503435-79.2018.8.26.0323;1095;36.5;3.0;1825;60.83;5.0
1503785-08.2021.8.26.0050;365;12.17;1.0;977;32.57;2.68
1503991-84.2021.8.26.0482;500;16.67;1.37;749;24.97;2.05
1503995-04.2020.8.26.0597;365;12.17;1.0;365;12.17;1.0
1504196-69.2019.8.26.0196;850;28.33;2.33;970;32.33;2.66
1504265-91.2021.8.26.0597;850;28.33;2.33;1095;36.5;3.0
1505828-40.2021.8.26.0268;365;12.17;1.0;365;12.17;1.0
1506063-75.2018.8.26.0344;425;14.17;1.16;425;14.17;1.16
1506119-97.2020.8.26.0228;437;14.57;1.2;172;5.73;0.47
1506274-13.2018.8.26.0506;425;14.17;1.16;425;14.17;1.16
1506612-89.2021.8.26.0050;850;28.33;2.33;730;24.33;2.0
1507290-90.2021.8.26.0281;365;12.17;1.0;160;5.33;0.44
1507378-36.2020.8.26.0032;365;12.17;1.0;425;14.17;1.16
1508282-51.2021.8.26.0281;850;28.33;2.33;1018;33.93;2.79
1508282-51.2021.8.26.0281;730;24.33;2.0;1018;33.93;2.79
1508282-51.2021.8.26.0281;730;24.33;2.0;874;29.13;2.39
1508811-46.2022.8.26.0019;365;12.17;1.0;365;12.17;1.0
1509562-85.2022.8.26.0228;425;14.17;1.16;425;14.17;1.16
1510316-08.2020.8.26.0451;365;12.17;1.0;495;16.5;1.36
1510748-03.2019.8.26.0050;365;12.17;1.0;240;8.0;0.66
1511620-61.2022.8.26.0228;365;12.17;1.0;365;12.17;1.0
1512461-38.2021.8.26.0019;425;14.17;1.16;425;14.17;1.16
1513333-71.2022.8.26.0228;1095;36.5;3.0;1095;36.5;3.0
1513955-53.2022.8.26.0228;425;14.17;1.16;140;4.67;0.38
1514761-11.2020.8.26.0050;365;12.17;1.0;365;12.17;1.0
1516029-17.2021.8.26.0228;365;12.17;1.0;120;4.0;0.33
1517000-51.2021.8.26.0050;850;28.33;2.33;850;28.33;2.33
1517839-76.2021.8.26.0050;970;32.33;2.66;1105;36.83;3.03
1518519-75.2022.8.26.0228;365;12.17;1.0;485;16.17;1.33
1519304-37.2022.8.26.0228;365;12.17;1.0;425;14.17;1.16
1521224-46.2022.8.26.0228;1095;36.5;3.0;1060;35.33;2.9
1521742-36.2022.8.26.0228;425;14.17;1.16;425;14.17;1.16
1522128-71.2019.8.26.0228;425;14.17;1.16;495;16.5;1.36
1522163-26.2022.8.26.0228;365;12.17;1.0;260;8.67;0.71
1522733-17.2019.8.26.0228;425;14.17;1.16;495;16.5;1.36
1522779-98.2022.8.26.0228;365;12.17;1.0;425;14.17;1.16
1523414-84.2019.8.26.0228;365;12.17;1.0;365;12.17;1.0
1524014-37.2021.8.26.0228;365;12.17;1.0;365;12.17;1.0
1524036-61.2022.8.26.0228;365;12.17;1.0;215;7.17;0.59
1524381-68.2017.8.26.0562;365;12.17;1.0;365;12.17;1.0
1525258-64.2022.8.26.0228;455;15.17;1.25;262;8.73;0.72
1526510-12.2018.8.26.0562;425;14.17;1.16;425;14.17;1.16
1527685-68.2021.8.26.0228;365;12.17;1.0;240;8.0;0.66
1531522-34.2021.8.26.0228;455;15.17;1.25;545;18.17;1.49
1500833-58.2019.8.26.0266;365;12.17;1.0;365;12.17;1.0
